,word,counts
156,younger,317
157,him,2022
158,little,4783
159,lays,197
160,grass,2566
161,amid,44
162,few,392
163,scattered,26
164,fallen,183
165,leaves,407
166,using,1159
167,bull,335
168,horn,60
169,having,967
170,peaceful,24
171,demonstration,54
172,make,329
173,aware,1
174,energy,9
175,requires,7
176,manufacturers,1
177,produce,197
178,bottles,126
179,water,5929
180,are,20120
181,gathered,612
182,near,3016
183,some,3545
184,booths,43
185,operates,45
186,barbecue,122
187,sits,2612
188,restaurant,946
189,back,1549
190,against,1053
191,brick,838
192,wall,2323
193,laying,771
194,metal,652
195,benches,114
196,city,2323
197,skyline,44
198,sunny,553
199,day,1341
200,elaborate,48
201,costume,550
202,bench,1747
203,next,3752
204,luggage,151
205,bunch,342
206,adults,632
207,topless,50
208,deck,193
209,beach,2897
210,jacket,3346
211,stands,2935
212,shore,371
213,testing,19
214,rubber,94
215,boot,19
216,clad,74
217,toe,28
218,helmets,265
219,bikes,431
220,building,3358
221,sitting,9607
222,between,545
223,tree,1512
224,bush,55
225,skateboarder,447
226,t-shirt,1327
227,ramp,468
228,three,5759
229,helmeted,34
230,bikers,119
231,examining,137
232,bike,2523
233,wheel,231
234,outdoors,765
235,gravel,102
236,recreational,10
237,graffitied,19
238,head,1603
239,skewed,1
240,men,9480
241,speed,85
242,boat,1357
243,small,3772
244,reaches,142
245,up,5111
246,spray,137
247,fountain,545
248,rainbow,97
249,forms,27
250,there,1642
251,five,858
252,horse,1189
253,riders,141
254,through,4247
255,valley,58
256,trail,406
257,sunlight,63
258,dressed,3460
259,cellphone,778
260,soccer,2144
261,teams,338
262,field,2960
263,middle-aged,364
264,asleep,203
265,train,1046
266,construction,1320
267,machine,521
268,digging,212
269,hole,218
270,paved,158
271,street,7975
272,orange,3086
273,hose,160
274,run,635
275,different,327
276,close,239
277,teammates,65
278,jog,33
279,down,7660
280,audience,424
281,watching,1495
282,jumpsuit,117
283,helping,241
284,climb,199
285,ladder,328
286,bigger,14
287,ship,140
288,suv,53
289,parked,347
290,body,751
291,passenger,63
292,vehicle,412
293,door,423
294,open,761
295,number,520
296,46,2
297,pictured,41
298,middle,977
299,pitch,100
300,stirring,39
301,caramel,3
302,corn,87
303,big,837
304,out,3431
305,stroll,68
306,children,4446
307,short,434
308,hair,2221
309,headphones,236
310,pair,178
311,hands,1556
312,tv,87
313,screen,264
314,microphone,1135
315,stand,2335
316,women,5266
317,pull,107
318,pocketbooks,1
319,pay,51
320,waitress,36
321,rest,137
322,hand,1921
323,couple,1466
324,jeans,1918
325,converse,82
326,dancing,1010
327,grasping,20
328,lady,2045
329,someone,814
330,surfing,259
331,along,1867
332,wave,596
333,else,41
334,swimming,955
335,nearby,445
336,snowshoe,3
337,gear,566
338,that,2498
339,says,265
340,',189
341,espana,1
342,purple,1301
343,streaks,12
344,smiling,1953
345,public,516
346,place,283
347,everyone,35
348,normal,12
349,all,1061
350,spiked,15
351,bag,1000
352,youth,91
353,game,1774
354,wherein,1
355,youths,41
356,fighting,260
357,many,1288
358,resting,252
359,situated,10
360,under,1226
361,beautiful,484
362,trees,968
363,full,648
364,bloom,8
365,several,2105
366,being,1372
367,chased,27
368,incoming,19
369,tide,15
370,rocky,402
371,bubble,133
372,bath,78
373,only,157
374,visible,118
375,above,678
376,foamy,9
377,he,1408
378,prepares,339
379,give,54
380,meals,11
381,less,8
382,fortunate,1
383,professionals,18
384,surgery,52
385,runners,205
386,participating,117
387,race,1346
388,hill,783
389,road,1769
390,wine,144
391,country,230
392,gathering,265
393,outside,4693
394,retail,19
395,store,1093
396,asian,2372
397,tulips,26
398,girls,2678
399,this,1049
400,striped,1338
401,putting,462
402,strainer,6
403,top,2415
404,guitars,160
405,singing,883
406,darkened,23
407,venue,65
408,carving,93
409,santa,129
410,wood,503
411,working,2175
412,crosses,111
413,busy,1006
414,crosswalk,174
415,gray,2086
416,staring,320
417,walking,7320
418,ponytails,8
419,ride,820
420,amusement,123
421,rider,432
422,vault,14
423,over,3672
424,obstacles,18
425,toy,1083
426,hammer,132
427,male,1473
428,hockey,589
429,players,1112
430,bending,138
431,ready,653
432,something,2123
433,gathers,83
434,as,5027
435,scale,23
436,six,394
437,story,61
438,green,5221
439,held,231
440,high,795
441,opponents,29
442,yard,394
443,patio,110
444,chairs,527
445,basketball,1039
446,jersey,429
447,shooting,156
448,headband,112
449,words,59
450,painted,408
451,bathing,338
452,talks,337
453,patrol,19
454,setting,513
455,various,346
456,vendors,76
457,underneath,191
458,awnings,8
459,surrounded,785
460,patrons,24
461,giving,388
462,thumbs,77
463,bicyclist,187
464,shorts,2066
465,backpack,613
466,passing,238
467,truck,780
468,stop,312
469,carrying,1783
470,piece,722
471,paper,648
472,rowers,9
473,canoe,190
474,approach,28
475,longer,5
476,class,250
477,practices,66
478,kicks,167
479,fixing,216
480,frame,114
481,wetsuit,170
482,surfs,64
483,hides,22
484,tall,495
485,grasses,10
486,talking,2070
487,driving,400
488,drink,509
489,brightly,214
490,lit,259
491,drinking,656
492,soda,79
493,plays,1897
494,hula,150
495,hoop,160
496,sidewalk,2811
497,residential,24
498,neighborhood,100
499,female,1397
500,subway,581
501,station,400
502,garden,247
503,onlookers,342
504,watch,1121
505,performs,420
506,stunt,167
507,involving,45
508,rope,592
509,whom,68
510,chopsticks,40
511,surround,35
512,table,2678
513,which,552
514,laden,23
515,plates,88
516,law,14
517,enforcement,13
518,looks,2465
519,sight,25
520,rifle,47
521,thailand,5
522,tortoise,5
523,attempts,191
524,eat,200
525,berry,5
526,tennis,1128
527,outfit,709
528,swing,707
529,brown,4440
530,though,74
531,brush-land,2
532,dark-haired,288
533,mustache,129
534,curb,165
535,traffic,254
536,tank,701
537,&,80
538,athlete,117
539,shirts,941
540,doctor,83
541,checking,167
542,stage,1594
543,view,454
544,overlook,22
545,corner,516
546,selling,491
547,poems,2
548,passed,40
549,phone,608
550,prepare,151
551,salad,22
552,together,1773
553,kitchen,771
554,rubbing,20
555,concert,382
556,light,848
557,baseball,1452
558,cap,1037
559,lake,795
560,sprinklers,31
561,gown,79
562,caps,108
563,gowns,21
564,trolley,54
565,ball,3887
566,car,1765
567,taking,1520
568,pictures,440
569,throwing,439
570,bucket,327
571,paddling,119
572,pool,1506
573,parasailing,29
574,sets,114
575,hip,31
576,older,2268
577,dance,598
578,party,404
579,without,141
580,gentleman,389
581,watches,1081
582,who,1436
583,sleeping,637
584,seated,482
585,position,101
586,troops,16
587,combat,20
588,helmet,1143
589,four,2208
590,ice-skating,4
591,sunglasses,1269
592,leads,80
593,line,854
594,clothes,749
595,balloons,253
596,window,1035
597,mexican,53
598,silver,299
599,reflectors,3
600,eyes,415
601,really,41
602,towards,818
603,you,126
604,or,1124
605,rising,21
606,background,2882
607,climbing,977
608,volleyball,508
609,net,371
610,others,745
611,fire,544
612,waiting,992
613,board,590
614,rail,279
615,system,35
616,pulls,146
617,cart,767
618,heavily,45
619,cleaning,399
620,supplies,62
621,cobblestone,107
622,reading,1143
623,newspaper,353
624,camouflaged,9
625,shines,30
626,shoes,621
627,here,172
628,picture,1983
629,teenage,246
630,ambulance,29
631,them,1746
632,dirt,1406
633,adult,496
634,cannot,10
635,be,1107
636,seen,222
637,warmly,36
638,sit,1583
639,cement,299
640,covered,894
641,blanket,315
642,does,463
643,trick,673
644,site,271
645,no,377
646,sleeves,49
647,black-haired,53
648,oriental,194
649,amazement,12
650,sparks,40
651,fireworks,48
652,elderly,1016
653,snips,1
654,tin,14
655,preparation,27
656,project,179
657,laughing,523
658,one-piece,7
659,jumper,48
660,kites,24
661,flown,4
662,worker,682
663,slate,4
664,shoves,2
665,disbelief,1
666,steps,590
667,leading,111
668,straw,201
669,bicycle,1553
670,computer,466
671,monitors,34
672,pinching,2
673,brow,10
674,blond,1593
675,toddler,645
676,ponytail,113
677,rides,1054
678,parka,32
679,alone,253
680,coca-cola,26
681,vending,48
682,brushing,102
683,teeth,183
684,jumps,1330
685,parking,323
686,lot,575
687,superman,29
688,radio,42
689,beaming,5
690,grin,18
691,she,852
692,dogs,2290
693,look,1328
694,attack,22
695,third,205
696,streets,273
697,toward,456
698,th,5
699,court,358
700,colored,708
701,bikini,274
702,tops,115
703,beside,807
704,vw,8
705,beetle,9
706,bandanna,160
707,past,958
708,stares,136
709,path,770
710,build,43
711,snowman,35
712,beige,204
713,these,213
714,enjoying,677
715,views,22
716,cruise,32
717,floral,138
718,gloves,374
719,balances,85
720,fishbowl,2
721,protesting,76
722,going,612
723,penske,5
724,possible,18
725,dancer,146
726,cloth,174
727,beads,54
728,long,1312
729,cluttered,34
730,flowers,587
731,skunk,3
732,snake,36
733,onto,624
734,tries,274
735,keep,50
736,balance,102
737,floating,147
738,devices,24
739,stick,752
740,fetch,36
741,sledding,54
742,nun,46
743,cigarette,424
744,crew,135
745,nighttime,71
746,naked,108
747,bmx,141
748,percussion,14
749,empty,307
750,gallon,5
751,buckets,92
752,rural,87
753,amigo,1
754,posing,930
755,photo,594
756,piggyback,30
757,father,247
758,jackets,359
759,pajamas,128
760,opening,166
761,present,73
762,flag,555
763,umbrella,735
764,staircase,141
765,4,153
766,wheeler,35
767,huge,250
768,mess,31
769,dry,152
770,brush,97
771,branches,73
772,pattern,44
773,design,61
774,brunette,253
775,paisley,10
776,printed,58
777,skirt,560
778,hairy,19
779,legs,306
780,sofa,98
781,book,756
782,guys,658
783,talk,303
784,van,181
785,cheers,24
786,donkey,80
787,adobe,12
788,random,25
789,chandelier,6
790,roasted,5
791,pig,36
792,getting,978
793,sports,340
794,sari,23
795,friend,187
796,cliff,312
797,mountains,451
798,doing,1520
799,skateboard,886
800,splashing,180
801,vest,745
802,points,170
803,upwards,38
804,right,618
805,containing,50
806,plant,124
807,left,573
808,remains,8
809,mom,105
810,measure,5
811,herself,125
812,tomato,19
813,ruler,6
814,walk,1707
815,briefcase,51
816,follows,74
817,hug,71
818,box,348
819,hombres,1
820,event,673
821,trumpet,118
822,teaching,83
823,indian,322
824,students,337
825,teacher,127
826,moving,203
827,shirtless,557
828,balancing,156
829,(,121
830,),123
831,laptop,245
832,carefully,67
833,inspects,40
834,roof,363
835,tiles,31
836,cross,348
837,heading,42
838,get,432
839,taste,16
840,papaya,2
841,blond-hair,365
842,heels,124
843,hikers,124
844,opposite,136
845,sex,13
846,cowboy,563
847,falling,186
848,violinist,22
849,decorated,181
850,clown,221
851,pants,1985
852,flowery,23
853,refreshment,6
854,about,1034
855,feed,17
856,apple,87
857,birthday,89
858,cake,254
859,swinging,331
860,coats,216
861,packed,49
862,closely,69
863,warriors,6
864,chain,127
865,mail,17
866,shields,17
867,musicians,261
868,performing,1330
869,2,451
870,dresses,340
871,fishing,547
872,overalls,155
873,pushing,455
874,boxes,132
875,boots,447
876,japanese,117
877,clothing,1002
878,smile,372
879,photographer,222
880,chases,122
881,muddy,181
882,pen,80
883,sua,1
884,honda,4
885,tire,198
886,runs,1183
887,flight,121
888,stairs,503
889,backyard,172
890,suspended,123
891,bungee,30
892,cord,16
893,off,2152
894,washed,18
895,shop,611
896,muscular,35
897,very,842
898,chair,1028
899,sleeps,161
900,african-american,82
901,multicolored,207
902,catching,196
903,hit,363
904,center,185
905,coke,26
906,stroller,272
907,buildings,429
908,changing,18
909,advertising,75
910,bulletin,5
911,foggy,29
912,gambling,14
913,businessman,55
914,hotdogs,42
915,safety,389
916,roadwork,17
917,admiring,57
918,jewelry,87
919,worn,28
920,deep,183
921,aprons,54
922,work,1028
923,baskin,1
924,robbins,4
925,milkshake,7
926,conference,92
927,room,1300
928,couples,75
929,abercrombie,1
930,long-sleeved,137
931,mostly,102
932,nude,17
933,stool,140
934,family,599
935,5,135
936,questioningly,1
937,exit,23
938,tunnel,167
939,school,391
940,lined,283
941,ethnic,85
942,placing,74
943,edge,457
944,market,863
945,boys,1971
946,peewee,1
947,chef,182
948,tastes,7
949,boiling,5
950,pot,157
951,khaki,181
952,lifting,95
953,lap,271
954,jelly,9
955,soldiers,126
956,discussion,83
957,playground,422
958,fenced,98
959,bordering,6
960,autumnal,2
961,skateboarding,314
962,perform,357
963,similar,74
964,task,33
965,pitcher,139
966,mound,106
967,clear,222
968,booth,196
969,passes,161
970,shack,27
971,pushes,183
972,wheelbarrow,62
973,wheelie,66
974,embraces,20
975,disney,21
976,character,29
977,stitch,14
978,raft,129
979,colors,160
980,pile,326
981,splitting,10
982,snowy,666
983,driveway,48
984,pillars,35
985,flaming,34
986,torches,16
987,presentation,154
988,varying,30
989,degrees,4
990,interest,10
991,leash,208
992,tires,67
993,upside,215
994,whitewater,8
995,rafting,38
996,silhouette,69
997,misty,12
998,cooking,465
999,meat,240
1000,traveling,83
1001,moped,64
1002,laughs,117
1003,adjusts,48
1004,clear-colored,1
1005,inside,926
1006,kid,601
1007,tractor,142
1008,claw,10
1009,below,209
1010,scaffolding,145
1011,dress,2129
1012,conversing,136
1013,covers,71
1014,graffiti,471
1015,alternating,2
1016,squares,16
1017,paint,321
1018,peeking,37
1019,stairwell,19
1020,cuts,85
1021,lemons,11
1022,daughter,170
1023,alice,2
1024,wonderland,3
1025,customs,4
1026,shallow,219
1027,image,138
1028,plate,236
1029,clapping,75
1030,drum,222
1031,across,1290
1032,starring,20
1033,each,1470
1034,rock,1468
1035,biting,101
1036,ear,138
1037,denim,166
1038,spanish-style,1
1039,covering,175
1040,artistic,21
1041,feat,4
1042,individuals,193
1043,desk,312
1044,drawing,182
1045,characters,43
1046,brushes,54
1047,ink,11
1048,catch,584
1049,frisbee,499
1050,signing,42
1051,church,223
1052,gets,282
1053,blood,46
1054,pressure,27
1055,checked,42
1056,pounding,8
1057,guinea,2
1058,crowded,583
1059,pedestrians,187
1060,illuminated,33
1061,force,15
1062,personnel,38
1063,introducing,3
1064,wet,359
1065,emerging,18
1066,depressed,6
1067,not,198
1068,know,13
1069,what,584
1070,do,226
1071,chatting,66
1072,lunch,126
1073,racket,175
1074,redheaded,113
1075,eats,176
1076,tortilla,1
1077,chip,21
1078,climbs,291
1079,boats,175
1080,turquoise,54
1081,fibrous,1
1082,material,69
1083,ruffles,5
1084,wooded,247
1085,instrument,404
1086,my,31
1087,vendor,325
1088,move,158
1089,heavy,184
1090,cylindrical,4
1091,object,459
1092,pulleys,3
1093,workers,1102
1094,baton,30
1095,dressing,26
1096,uniforms,675
1097,cheerleading,33
1098,routine,113
1099,goalie,145
1100,attempting,285
1101,block,226
1102,shot,282
1103,brian,2
1104,nugent,1
1105,video,214
1106,videotaping,13
1107,soldier,137
1108,hard,645
1109,blowing,259
1110,among,255
1111,office,216
1112,dumpster,43
1113,string,129
1114,pointing,343
1115,sells,109
1116,tobacco,7
1117,magazines,43
1118,winter,422
1119,shopping,696
1120,distance,444
1121,ropes,90
1122,surf,129
1123,skiing,237
1124,romania,1
1125,himself,197
1126,vertically,7
1127,upside-down,33
1128,rings,49
1129,performer,204
1130,completely,33
1131,coat,1310
1132,chinese,269
1133,dark,1390
1134,cooks,77
1135,son,233
1136,city-themed,1
1137,mat,159
1138,fingers,129
1139,necklace,113
1140,well,191
1141,groomed,3
1142,blond-haired,182
1143,street-shot,1
1144,applebee,2
1145,dave,4
1146,buster,1
1147,restaurants,16
1148,atop,189
1149,surface,158
1150,within,60
1151,cloudy,131
1152,waterfront,32
1153,back-to-back,4
1154,high-rise,3
1155,tricycles,20
1156,hairdresser,4
1157,drying,27
1158,microscope,201
1159,manipulating,10
1160,contents,36
1161,slide,461
1162,sweater,814
1163,measuring,26
1164,curved,30
1165,vests,347
1166,poses,433
1167,hang,96
1168,glider,18
1169,tropical,70
1170,enviorment,1
1171,tower,82
1172,golden,187
1173,clock,43
1174,somewhat,26
1175,long-haired,124
1176,sandals,232
1177,foot,235
1178,they,958
1179,wear,171
1180,crowns,16
1181,garish,5
1182,hats,836
1183,kids,1192
1184,rocks,606
1185,toys,218
1186,tongue,171
1187,sticking,123
1188,old,1586
1189,taken,175
1190,stores,41
1191,french,49
1192,names,7
1193,celebrate,40
1194,leggings,47
1195,pausing,5
1196,have,560
1197,finishing,41
1198,meal,283
1199,local,165
1200,product,45
1201,folk,16
1202,objects,99
1203,stuck,46
1204,bearded,296
1205,applauding,9
1206,fans,161
1207,time,314
1208,think,10
1209,chasing,273
1210,aged,50
1211,grown,18
1212,ballerina,63
1213,outfits,285
1214,entry,10
1215,drenched,15
1216,strollers,36
1217,enjoy,204
1218,music,644
1219,order,90
1220,reach,84
1221,ceiling,89
1222,gazes,54
1223,off-camera,56
1224,goes,180
1225,coming,252
1226,sharing,93
1227,laugh,115
1228,wife,48
1229,take,448
1230,trip,51
1231,masquerade,4
1232,rug,79
1233,chest,140
1234,shoe,133
1235,couch,494
1236,step,109
1237,grill,314
1238,smokes,104
1239,poles,149
1240,part,165
1241,drinks,351
1242,equipment,471
1243,quartet,13
1244,crying,202
1245,ten,50
1246,rocket-like,1
1247,carnival,172
1248,flying,332
1249,quickly,63
1250,storefront,89
1251,name,77
1252,dead,73
1253,leaping,230
1254,marbled,3
1255,scowls,4
1256,skier,294
1257,earrings,41
1258,college,111
1259,makes,325
1260,layup,11
1261,weird,30
1262,sharp,41
1263,knife,93
1264,bicycles,284
1265,appear,159
1266,carved,23
1267,closed,187
1268,show,327
1269,tossing,64
1270,assortment,20
1271,police,489
1272,vehicles,95
1273,officers,186
1274,barefoot,202
1275,floor,1076
1276,fiddling,7
1277,pier,211
1278,insect,12
1279,nose,199
1280,kind,182
1281,canopy,35
1282,waters,131
1283,tan,875
1284,pavement,162
1285,cafe,244
1286,geometric,11
1287,tile,89
1288,ladies,447
1289,factory,83
1290,digital,43
1291,model,114
1292,rustic,20
1293,records,21
1294,gray-haired,86
1295,macbook,9
1296,collie,31
1297,cool,56
1298,chains,25
1299,works,398
1300,photographs,90
1301,wild,53
1302,animals,129
1303,sleep,48
1304,travels,32
1305,pillows,36
1306,heads,188
1307,tent,321
1308,sides,84
1309,land,85
1310,circle,209
1311,splash,74
1312,pad,34
1313,yellow-shirted,1
1314,runner,207
1315,pinned,21
1316,conversation,295
1317,canal,42
1318,alcoholic,22
1319,beverages,48
1320,eating,1238
1321,chocolate,64
1322,ice,841
1323,cream,380
1324,sign,1217
1325,elephant,88
1326,plaid,506
1327,cutting,389
1328,inspecting,73
1329,things,117
1330,magnifying,20
1331,glass,508
1332,washington,20
1333,mutual,5
1334,atm,44
1335,machines,59
1336,picks,47
1337,berries,4
1338,frontier,2
1339,log,158
1340,puppies,66
1341,tub,102
1342,jean,172
1343,pant,14
1344,welding,104
1345,eye,113
1346,protection,36
1347,ballet,97
1348,rooftop,54
1349,keyboard,145
1350,professor,21
1351,edwardo,1
1352,alvarado,1
1353,stoop,48
1354,lost,22
1355,n,18
1356,thought,26
1357,males,248
1358,stream,205
1359,referee,146
1360,preparing,566
1361,face-off,5
1362,series,49
1363,tents,94
1364,rolling,160
1365,pin,36
1366,sheet,136
1367,maid,7
1368,sand,1156
1369,snowboard,140
1370,motorcyclist,107
1371,jump,766
1372,obstacle,170
1373,life,288
1374,cape,52
1375,surfer,343
1376,surfboard,288
1377,foreign,132
1378,fabric,139
1379,waves,319
1380,muslim,40
1381,foam,34
1382,bubbles,249
1383,touching,156
1384,sticks,211
1385,rhythmic,6
1386,ribbon,92
1387,bent,130
1388,dough,62
1389,red-hair,191
1390,o,9
1391,overloaded,4
1392,wagon,123
1393,tips,33
1394,backwards,122
1395,mule,25
1396,attached,210
1397,creek,94
1398,go,238
1399,cone,136
1400,racer,103
1401,lifts,63
1402,mountainside,54
1403,ducks,53
1404,furry,80
1405,itself,26
1406,shaking,128
1407,caucasian,120
1408,wool,27
1409,hiking,247
1410,camping,76
1411,pocket,34
1412,sleeve,28
1413,checker,3
1414,waffles,8
1415,barricade,30
1416,ceremonial,23
1417,parasol,13
1418,wristband,14
1419,placed,67
1420,fuchsia,8
1421,poster,115
1422,lies,139
1423,hanging,662
1424,structure,370
1425,camouflage,170
1426,grilling,110
1427,zombie,18
1428,garage,98
1429,uk,6
1430,post,137
1431,beams,33
1432,undergoing,5
1433,refurbishment,1
1434,york,138
1435,yankees,15
1436,professional,162
1437,kick,249
1438,writing,286
1439,lying,395
1440,lone,177
1441,surfboarder,9
1442,lift,119
1443,snarling,6
1444,approaches,54
1445,hissing,2
1446,cat,227
1447,relax,67
1448,peer,29
1449,stone,664
1450,sculptor,14
1451,gently,13
1452,shaded,24
1453,seems,155
1454,decorate,12
1455,but,170
1456,us,78
1457,enjoys,147
1458,fireman,74
1459,action,99
1460,during,1042
1461,intense,38
1462,musical,281
1463,mixing,76
1464,sprays,31
1465,dusting,3
1466,opposing,238
1467,sweep,20
1468,highway,55
1469,celebrating(,1
1470,i,111
1471,honestly,1
1472,n't,73
1473,lacrosse,60
1474,same,297
1475,team,994
1476,competing,246
1477,gate,142
1478,like,615
1479,rodeo,355
1480,main,40
1481,focus,42
1482,leaning,590
1483,railed,5
1484,gesture,54
1485,plaided,3
1486,belt,139
1487,gold,321
1488,buckle,7
1489,sort,304
1490,transportation,90
1491,bars,118
1492,mouths,60
1493,screaming,40
1494,lights,236
1495,basket,310
1496,overcoat,26
1497,in-line,4
1498,skater,93
1499,grinding,78
1500,comes,63
1501,;,241
1502,everything,13
1503,blur,12
1504,just,430
1505,took,23
1506,pizza,102
1507,oven,62
1508,ca,11
1509,wait,264
1510,electronic,84
1511,device,183
1512,balcony,162
1513,ledge,251
1514,fly,95
1515,cast,45
1516,hamburgers,22
1517,biker,341
1518,protected,9
1519,3,315
1520,cowboys,54
1521,happens,3
1522,excellent,2
1523,timing,1
1524,hydrant,42
1525,catches,190
1526,barrier,80
1527,clicking,5
1528,diving,250
1529,slanted,12
1530,summer,130
1531,decorations,45
1532,sale,140
1533,celebration,63
1534,classroom,253
1535,bicycling,35
1536,decorating,17
1537,gingerbread,13
1538,houses,68
1539,ski,252
1540,harness,142
1541,fashionable,13
1542,styling,6
1543,point,68
1544,round,147
1545,mirror,227
1546,buddhist,21
1547,monk,36
1548,architectural,10
1549,photos,94
1550,track,744
1551,relaxing,198
1552,after,599
1553,platform,261
1554,thin,76
1555,landscape,151
1556,kickboxer,7
1557,lands,33
1558,knee,133
1559,opponent,116
1560,base,251
1561,debris,55
1562,african,553
1563,villagers,20
1564,walkway,250
1565,built,54
1566,fluffy,81
1567,bagpipes,61
1568,teenager,114
1569,tribal,38
1570,mittens,15
1571,sweatshirt,481
1572,parasailer,7
1573,skipping,21
1574,petting,80
1575,animal,285
1576,forest,471
1577,binoculars,63
1578,teal,106
1579,cardigan,22
1580,priest,25
1581,showing,365
1582,love,47
1583,jesus,24
1584,flips,63
1585,calf,76
1586,roping,24
1587,painting,675
1588,strange,86
1589,modern,57
1590,art,379
1591,collar,235
1592,trampoline,202
1593,1,58
1594,exploitation,2
1595,hosiery,1
1596,americans,27
1597,least,34
1598,attendants,5
1599,undisclosed,1
1600,location,49
1601,smiles,601
1602,wrestling,152
1603,ring,216
1604,pail,20
1605,urban,238
1606,outdoor,962
1607,daytime,45
1608,shows,245
1609,walls,148
1610,prominent,7
1611,pallets,4
1612,overhead,87
1613,tay,1
1614,shing,1
1615,corp.,3
1616,allen,3
1617,st.,12
1618,entrance,98
1619,upraised,9
1620,candy,127
1621,comfortable,12
1622,tux,6
1623,wc,1
1624,fields,41
1625,watercraft,16
1626,battle,45
1627,where,433
1628,quarterback,43
1629,trying,888
1630,throw,248
1631,sack,50
1632,fries,8
1633,snacks,48
1634,ethnicity,8
1635,moves,137
1636,gym,252
1637,wings,92
1638,tricks,195
1639,straight,77
1640,cow,155
1641,boards,56
1642,stump,57
1643,outlines,4
1644,surrounding,129
1645,piccolo,1
1646,picking,166
1647,balls,215
1648,mini-golf,7
1649,course,245
1650,stall,66
1651,sandy,250
1652,find,36
1653,paintings,39
1654,letter,19
1655,alphabet,3
1656,affixed,4
1657,earring,18
1658,interacts,9
1659,columns,47
1660,concrete,489
1661,drums,353
1662,end,182
1663,jetty,10
1664,overlooking,298
1665,sky,447
1666,winds,18
1667,carry,95
1668,bale,22
1669,hay,139
1670,hilly,21
1671,drives,156
1672,average,5
1673,amount,47
1674,buttoning,2
1675,dad,59
1676,spectators,340
1677,use,124
1678,cameras,72
1679,capture,17
1680,polka,98
1681,dots,26
1682,leather,311
1683,cigar,35
1684,cello,71
1685,rugby,163
1686,apron,379
1687,muscle,14
1688,chalk,69
1689,draw,28
1690,racial,2
1691,backgrounds,8
1692,symmetrical,1
1693,marketplace,123
1694,listening,334
1695,figure,105
1696,skating,225
1697,hooded,168
1698,focusing,27
1699,attention,100
1700,sculptures,23
1701,whole,35
1702,meaning,3
1703,alaska,6
1704,highly,14
1705,fjord,1
1706,pedal,21
1707,if,96
1708,mount,15
1709,scene,331
1710,business,281
1711,waterway,43
1712,creating,71
1713,those,30
1714,alley,274
1715,bird,325
1716,quad,29
1717,airborne,113
1718,gone,10
1719,downhill,84
1720,snowsuit,46
1721,formula,4
1722,cars,392
1723,racing,548
1724,winning,24
1725,containig,1
1726,pulled,185
1727,horses,400
1728,rain,322
1729,gymnasium,75
1730,flute,69
1731,scarf,465
1732,sculpture,206
1733,beard,460
1734,antique,34
1735,feet,336
1736,coffee,320
1737,littered,19
1738,mugs,9
1739,newspapers,56
1740,weaves,16
1741,native,127
1742,culture,19
1743,ran,18
1744,repair,64
1745,uniformed,95
1746,cyclists,138
1747,speaks,170
1748,surprised,42
1749,stuffed,185
1750,90,4
1751,active,17
1752,stretches,54
1753,graphic,22
